NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Keldon Johnson, SAS, SF,20,9,0,10.2,1.8,3.4, .516,0.2,0.6,0.4,1.6,2.9,0.5379999999999999,0.5479999999999999,0.8,1.1,0.7,0.6,1.3,1.9,0.7,0.6,0.1,0.3,1.0,4.6,20,92,16.6,0.579,0.161,0.32299999999999995,5.8,14.1,10.0,9.4,2.6,1.0,7.8,18.1,0.2,0.1,0.2,0.11900000000000001,-0.3,-0.6,-0.9,0.0,0,20
Stanley Johnson, TOR, PF,23,20,0,4.8,0.4,1.6, .258,0.1,0.7,0.154,0.3,0.9,0.33299999999999996,0.29,0.3,0.3,0.833,0.2,1.0,1.1,0.4,0.2,0.1,0.4,0.5,1.2,23,96,3.1,0.342,0.419,0.19399999999999998,3.4,20.5,12.1,11.0,2.0,2.0,19.2,18.6,-0.3,0.2,-0.1,-0.068,-7.9,1.4,-6.5,-0.1,0,3
Tyler Johnson, PHO, SG,27,31,3,16.6,2.1,5.5, .380,0.8,2.7,0.289,1.3,2.8,0.466,0.45,0.8,1.0,0.75,0.3,1.4,1.7,1.6,0.4,0.3,0.8,1.4,5.7,27,515,8.1,0.48100000000000004,0.485,0.187,2.1,9.3,5.6,13.5,1.1,1.4,11.5,17.3,-0.2,0.3,0.1,0.011000000000000001,-3.0,-0.7,-3.7,-0.2,0,21
Nikola Jokić, DEN, C,24,65,65,32.3,7.9,14.9, .528,1.1,3.5,0.314,6.8,11.4,0.594,0.565,3.4,4.1,0.813,2.4,7.8,10.2,6.9,1.2,0.7,3.1,3.1,20.2,24,2101,25.0,0.604,0.233,0.27699999999999997,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,6.0,3.2,9.2,0.209,5.4,2.3,7.6,5.1,0,6
Damian Jones, ATL, C,24,55,27,16.1,2.2,3.2, .680,0.0,0.2,0.222,2.2,3.1,0.7040000000000001,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,24,887,15.5,0.7120000000000001,0.051,0.47200000000000003,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.4,0.1,0,27
Derrick Jones Jr., MIA, SF,22,51,15,24.5,3.3,6.3, .514,0.7,2.5,0.27,2.6,3.9,0.67,0.5670000000000001,1.7,2.2,0.779,1.1,3.1,4.2,1.1,1.1,0.7,0.5,2.2,8.9,22,1249,14.8,0.609,0.39,0.35,5.4,13.5,9.6,6.7,2.1,2.9,6.8,14.1,2.3,1.6,3.9,0.15,-0.4,1.1,0.8,0.9,0,8
Tyus Jones, MEM, PG,23,65,6,19.0,3.0,6.6, .459,0.7,1.9,0.379,2.3,4.7,0.49200000000000005,0.514,0.7,0.9,0.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4,23,1232,15.7,0.532,0.289,0.135,0.8,7.9,4.4,31.7,2.2,0.4,10.8,17.2,2.0,1.0,3.0,0.115,0.4,0.1,0.6,0.8,0,14
DeAndre Jordan, BRK, C,31,56,6,22.0,3.4,5.1, .666,0.0,0.0,,3.4,5.1,0.6659999999999999,0.6659999999999999,1.5,2.2,0.68,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3,31,1234,20.0,0.682,0.0,0.425,12.1,34.2,23.4,12.8,0.7,3.5,17.8,14.1,3.0,2.3,5.3,0.204,1.1,1.8,2.8,1.5,0,15
Cory Joseph, SAC, PG,28,64,22,24.0,2.4,5.8, .420,0.7,2.1,0.35100000000000003,1.7,3.7,0.46,0.484,0.8,0.9,0.828,0.6,2.0,2.5,3.4,0.7,0.3,1.0,1.9,6.3,28,1538,10.3,0.513,0.363,0.157,2.6,9.5,6.0,19.4,1.5,1.3,14.0,13.0,1.1,1.0,2.2,0.067,-2.1,0.3,-1.8,0.1,0,19
Mfiondu Kabengele, LAC, C,22,12,0,5.3,1.2,2.7, .438,0.8,1.7,0.45,0.4,1.0,0.41700000000000004,0.578,0.4,0.4,1.0,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5,22,64,18.2,0.614,0.625,0.156,1.7,15.7,8.9,4.9,1.5,2.7,5.5,23.5,0.1,0.1,0.2,0.175,2.2,-0.1,2.1,0.1,0,4
